cik,company_name,event_date,key,raw_news,top_sym,top_share,phrase_ratio,verdict,reason
351817,SWIFT ENERGY CO,2016-01-04,swift energy,30,SFY,0.567,1.000,ACCEPT,R1 symbol SFY share=0.57
1385544,Horsehead Holding Corp,2016-02-02,horsehead,30,ZINC,0.700,1.000,ACCEPT,R1 symbol ZINC share=0.70
1207070,FRANKLIN BANK CORP,2008-11-10,franklin bank,30,,0.000,0.967,ACCEPT,R2 phrase 'franklin bank' ratio=0.97
50957,FURNITURE BRANDS INTERNATIONAL INC,2013-09-10,furniture brands,30,,0.000,1.000,ACCEPT,R2 phrase 'furniture brands' ratio=1.00
813781,EXIDE TECHNOLOGIES,2013-06-10,exide technologies,30,,0.000,0.967,ACCEPT,R2 phrase 'exide technologies' ratio=0.97
1234383,BANK HOLDINGS,2010-06-24,bank,9706,DB,0.002,1.000,REJECT,"no symbol consensus, no phrase dominance"
750199,ENERGY PARTNERS LTD,2009-05-05,energy,6790,,0.000,1.000,REJECT,"no symbol consensus, no phrase dominance"
49534,LIFE PARTNERS HOLDINGS INC,2015-01-26,life,2574,LNC,0.007,1.000,REJECT,"no symbol consensus, no phrase dominance"
1259550,LOCAL Corp,2015-06-24,local,1299,LOCM,0.015,1.000,REJECT,"no symbol consensus, no phrase dominance"
1116112,US FUEL CORP,2014-12-30,fuel,1198,PLUG,0.018,1.000,REJECT,"no symbol consensus, no phrase dominance"
798949,"UNIT CORP  (UNTC, UNTCW)",2020-05-26,unit,451,UNT,0.020,1.000,REJECT,"no symbol consensus, no phrase dominance"
1562594,"Liquid Holdings Group, Inc.",2016-02-02,liquid,321,LIQD,0.028,1.000,REJECT,"no symbol consensus, no phrase dominance"
814068,CHAMPION ENTERPRISES INC,2009-11-20,champion,248,CLC,0.004,1.000,REJECT,"no symbol consensus, no phrase dominance"
74273,OLD STONE CORP,2012-06-06,stone,214,SGY,0.145,1.000,REJECT,"no symbol consensus, no phrase dominance"
1034258,"NOBLE INTERNATIONAL, LTD.",2009-04-16,noble,184,,0.000,1.000,REJECT,"no symbol consensus, no phrase dominance"
1124394,HydroGen CORP,2008-10-23,hydrogen,166,,0.000,1.000,REJECT,"no symbol consensus, no phrase dominance"
1145061,"Global Energy Holdings Group, Inc.",2009-11-25,global energy,152,A,0.007,0.329,REJECT,"no symbol consensus, no phrase dominance"
1085734,BLOCKBUSTER INC,2010-09-24,blockbuster,150,NCR,0.020,1.000,REJECT,"no symbol consensus, no phrase dominance"
1073429,US CONCRETE INC,2010-04-29,concrete,70,ACN,0.014,1.000,REJECT,"no symbol consensus, no phrase dominance"
1000285,SOLUTION TECHNOLOGY INTERNATIONAL INC,2009-05-14,solution technology,66,,0.000,0.061,REJECT,"no symbol consensus, no phrase dominance"
1132143,LEGEND INTERNATIONAL HOLDINGS INC,2016-05-09,legend,48,JD,0.062,1.000,REJECT,"no symbol consensus, no phrase dominance"
1061580,UCBH HOLDINGS INC,2009-11-16,ucbh,43,ACAD,0.023,1.000,REJECT,"no symbol consensus, no phrase dominance"
1416712,"IRON MINING GROUP, INC.",2011-08-30,iron mining,41,,0.000,0.146,REJECT,"no symbol consensus, no phrase dominance"
895642,ENER1 INC,2012-01-26,ener1,40,IIN,0.025,1.000,REJECT,"no symbol consensus, no phrase dominance"
834408,BROOKE CORP,2008-10-29,brooke,39,,0.000,1.000,REJECT,"no symbol consensus, no phrase dominance"
946842,AMBASSADORS INTERNATIONAL INC,2011-04-07,ambassadors,36,,0.000,1.000,REJECT,"no symbol consensus, no phrase dominance"
842162,LEAR CORP  (LEA),2009-07-07,lear,36,,0.000,1.000,REJECT,"no symbol consensus, no phrase dominance"
1068084,PRIVATE MEDIA GROUP INC,2011-08-26,private media,35,GSVC,0.029,0.286,REJECT,"no symbol consensus, no phrase dominance"
925464,SECURITY BANK CORP,2009-07-27,security bank,34,,0.000,0.412,REJECT,"no symbol consensus, no phrase dominance"
1528837,Sanchez Energy Corp,2019-08-12,sanchez energy,30,SN,0.167,0.167,REJECT,"no symbol consensus, no phrase dominance"
